gene,logFC_edgeR,p_edgeR,FDR_edgeR
ENSG00000169245,8.35566351706058,1.2900939082469594e-8,1.725500602280308e-4
ENSG00000169248,6.903595932101482,1.2737968071486695e-7,8.518516147806727e-4
ENSG00000111335,10.969932842438258,2.4082104354362062e-6,0.010736604857986418
ENSG00000165949,4.290016014610239,4.429499908918595e-6,0.014811140320446553
ENSG00000183486,4.514854787322954,2.7592954609337466e-5,0.07381115357997772
ENSG00000130303,2.5930046677334757,1.7870398404228128e-4,0.39836096442758534
ENSG00000185885,2.2327458721043674,2.579382576894352e-4,0.49284631379945654
ENSG00000137959,3.9392239398587225,3.1768100922395054e-4,0.5311229372962923
ENSG00000111331,3.35895199729768,4.78926191917026e-4,0.693504322763673
ENSG00000184979,3.445658619354018,5.185079048700359e-4,0.693504322763673
ENSG00000185900,4.501346218918861,0.001435230678015495,0.9999988525496899
ENSG00000175445,11.633541264324919,0.001461651374240787,0.9999988525496899
ENSG00000068079,1.9315190420965311,0.0016135104147124181,0.9999988525496899
ENSG00000205413,4.186538776119333,0.00167247803449764,0.9999988525496899
ENSG00000188283,5.790972831224972,0.0018603287861836903,0.9999988525496899
ENSG00000178385,-4.095827223653675,0.001865279858739334,0.9999988525496899
ENSG00000198932,11.12769004008624,0.0022662591418912367,0.9999988525496899
ENSG00000102524,6.091240672245,0.0023620160302806428,0.9999988525496899
ENSG00000131931,-3.3703885105843248,0.0031092899961372208,0.9999988525496899
ENSG00000164506,6.606232047975766,0.0031911666760062237,0.9999988525496899
ENSG00000135913,-3.449763425124317,0.0032799743704643013,0.9999988525496899
ENSG00000181450,-4.032837318577561,0.0033763642516675013,0.9999988525496899
ENSG00000172183,2.025559521444472,0.003631208394587716,0.9999988525496899
ENSG00000126709,3.25139299870067,0.004058290367585748,0.9999988525496899
ENSG00000117174,-3.2171680929706143,0.004383658393852023,0.9999988525496899
ENSG00000107036,-3.0451624091494294,0.004446457474843285,0.9999988525496899
ENSG00000182405,7.183695249703661,0.0046744632198840634,0.9999988525496899
ENSG00000140853,4.447155080130095,0.004879810045780236,0.9999988525496899
ENSG00000174125,-3.159800268009618,0.004911540477939411,0.9999988525496899
ENSG00000138646,3.850987245973999,0.004933711969690717,0.9999988525496899
ENSG00000198919,-3.1597811730045673,0.005007590347103148,0.9999988525496899
ENSG00000132530,10.592719556366694,0.00550771421878968,0.9999988525496899
ENSG00000118200,-4.271694871749265,0.005669875826810883,0.9999988525496899
ENSG00000171560,-2.9884298962716564,0.005870202228508991,0.9999988525496899
ENSG00000054983,-2.258457603901587,0.005950501698096003,0.9999988525496899
ENSG00000187608,3.73184809325222,0.005971342879367645,0.9999988525496899
