>>> 2025-10-19 21:25:12:641922:	Analysing files...

>>> 2025-10-19 21:25:12:642360:	Batchinator is writing to: /tmp/tmp8wjk57t5

>>> 2025-10-19 21:25:12:642415:	Identifying possible target sites in: /home/axis/crackling_inputs/IFI27_region_plus_exons.fa

>>> 2025-10-19 21:25:12:648171:		Identified 3,262 possible target sites in this file.

>>> 2025-10-19 21:25:12:648216:		Of these, 702 are not unique. These sites occur a total of 1177 times.

>>> 2025-10-19 21:25:12:648227:		Removing 1,177 of 3,262 (36.082%) guides.

>>> 2025-10-19 21:25:12:648233:		2,085 distinct guides have been discovered so far.

>>> 2025-10-19 21:25:12:648240:		Extracted from 100.0% of input

>>> 2025-10-19 21:25:12:648485:	Processing batch file 1 of 1

>>> 2025-10-19 21:25:12:650715:		Loaded 2,085 guides

>>> 2025-10-19 21:25:12:650751:	CHOPCHOP - remove those without G in position 20.

>>> 2025-10-19 21:25:12:663535:		1,012 of 1,383 failed here.

>>> 2025-10-19 21:25:12:663601:	mm10db - remove all targets with a leading T (+) or trailing A (-).

>>> 2025-10-19 21:25:12:677091:		353 of 1,383 failed here.

>>> 2025-10-19 21:25:12:677154:	mm10db - remove based on AT percent.

>>> 2025-10-19 21:25:12:691340:		94 of 1,030 failed here.

>>> 2025-10-19 21:25:12:691418:	mm10db - remove all targets that contain TTTT.

>>> 2025-10-19 21:25:12:704455:		42 of 936 failed here.

>>> 2025-10-19 21:25:12:704496:	mm10db - check secondary structure.

>>> 2025-10-19 21:25:12:717592:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 21:25:12:717718:			Constructing the RNAfold input file.

>>> 2025-10-19 21:25:12:718051:			894 guides in this page.

>>> 2025-10-19 21:25:12:718075:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/RNAfold --noPS -j28 -i /home/axis/cracklingOutput/sampled_chr1/IFI27_REGION_PLUS_85_AND_chr1_20251019_212511/IFI27_REGION_PLUS_85_AND_chr1-rnafold-input.txt -o',)

>>> 2025-10-19 21:25:13:081224:	| Finished

>>> 2025-10-19 21:25:13:081376:			Starting to process the RNAfold results.

>>> 2025-10-19 21:25:13:092671:		339 of 894 failed here.

>>> 2025-10-19 21:25:13:092752:	Calculating mm10db final result.

>>> 2025-10-19 21:25:13:093383:		555 accepted.

>>> 2025-10-19 21:25:13:093396:		1530 failed.

>>> 2025-10-19 21:25:13:093413:	sgRNAScorer2 - score using model.

/home/axis/miniconda3/envs/crackling/lib/python3.11/site-packages/sklearn/base.py:442: InconsistentVersionWarning: Trying to unpickle estimator SVC from version 0.24.2 when using version 1.7.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
>>> 2025-10-19 21:25:13:901013:		337 of 662 failed here.

>>> 2025-10-19 21:25:13:901080:	Evaluating efficiency via consensus approach.

>>> 2025-10-19 21:25:13:903429:		1,628 of 2,085 failed here.

>>> 2025-10-19 21:25:13:903458:	Bowtie analysis.

>>> 2025-10-19 21:25:13:903883:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 21:25:13:903930:		Constructing the Bowtie input file.

>>> 2025-10-19 21:25:13:904803:			457 guides in this page.

>>> 2025-10-19 21:25:13:904841:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/bowtie2 -x /home/axis/genomes/personalised/multi/GRCh38_sampled_chr2 -p 28 --reorder --no-hd -t -r -U /home/axis/cracklingOutput/sampled_chr1/IFI27_REGION_PLUS_85_AND_chr1_20251019_212511/IFI27_REGION_PLUS_85_AND_chr1-bowtie-input.txt -S /home/axis/cracklingOutput/sampled_chr1/IFI27_REGION_PLUS_85_AND_chr1_20251019_212511/IFI27_REGION_PLUS_85_AND_chr1-bowtie-output.txt',)

>>> 2025-10-19 21:25:17:221723:	| Finished

>>> 2025-10-19 21:25:17:221792:		Starting to process the Bowtie results.

>>> 2025-10-19 21:25:17:225651:		455 of 457 failed here.

>>> 2025-10-19 21:25:17:225688:	Beginning off-target scoring.

>>> 2025-10-19 21:25:17:226119:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 21:25:17:226283:			2 guides in this page.

>>> 2025-10-19 21:25:17:226315:	| Calling: ('/home/axis/bin/isslScoreOfftargets /home/axis/genomes/personalised/multi/GRCh38_sampled_chr1.issl /home/axis/cracklingOutput/sampled_chr1/IFI27_REGION_PLUS_85_AND_chr1_20251019_212511/IFI27_REGION_PLUS_85_AND_chr1-0-offtargetscore-input.txt 4 85 and > /home/axis/cracklingOutput/sampled_chr1/IFI27_REGION_PLUS_85_AND_chr1_20251019_212511/IFI27_REGION_PLUS_85_AND_chr1-0-offtargetscore-output.txt',)

>>> 2025-10-19 21:25:34:662467:	| Finished

>>> 2025-10-19 21:25:34:662968:		1 of 2 failed here.

>>> 2025-10-19 21:25:34:662992:	Writing results to file.

>>> 2025-10-19 21:25:34:669594:	Cleaning auxiliary files

>>> 2025-10-19 21:25:34:669769:	Done.

>>> 2025-10-19 21:25:34:669782:	2085 guides evaluated.

>>> 2025-10-19 21:25:34:669796:	This batch ran in 01 00:00:22 (dd hh:mm:ss) or 22.021313190460205 seconds

>>> 2025-10-19 21:25:34:669804:	Total run time (dd hh:mm:ss) or 01 00:00:22 seconds

