>>> 2025-10-19 01:45:06:776385:	Analysing files...

>>> 2025-10-19 01:45:06:776804:	Batchinator is writing to: /tmp/tmpje8lq4sg

>>> 2025-10-19 01:45:06:776848:	Identifying possible target sites in: /home/axis/crackling_inputs/CXCL10_region_plus_exons.fa

>>> 2025-10-19 01:45:06:778004:		Identified 486 possible target sites in this file.

>>> 2025-10-19 01:45:06:778016:		Of these, 89 are not unique. These sites occur a total of 89 times.

>>> 2025-10-19 01:45:06:778024:		Removing 89 of 486 (18.313%) guides.

>>> 2025-10-19 01:45:06:778029:		397 distinct guides have been discovered so far.

>>> 2025-10-19 01:45:06:778034:		Extracted from 100.0% of input

>>> 2025-10-19 01:45:06:778123:	Processing batch file 1 of 1

>>> 2025-10-19 01:45:06:778435:		Loaded 397 guides

>>> 2025-10-19 01:45:06:778451:	CHOPCHOP - remove those without G in position 20.

>>> 2025-10-19 01:45:06:780675:		236 of 308 failed here.

>>> 2025-10-19 01:45:06:780688:	mm10db - remove all targets with a leading T (+) or trailing A (-).

>>> 2025-10-19 01:45:06:782939:		99 of 308 failed here.

>>> 2025-10-19 01:45:06:782949:	mm10db - remove based on AT percent.

>>> 2025-10-19 01:45:06:785347:		64 of 209 failed here.

>>> 2025-10-19 01:45:06:785367:	mm10db - remove all targets that contain TTTT.

>>> 2025-10-19 01:45:06:787599:		4 of 145 failed here.

>>> 2025-10-19 01:45:06:787612:	mm10db - check secondary structure.

>>> 2025-10-19 01:45:06:789850:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 01:45:06:789878:			Constructing the RNAfold input file.

>>> 2025-10-19 01:45:06:789960:			141 guides in this page.

>>> 2025-10-19 01:45:06:789974:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/RNAfold --noPS -j28 -i /home/axis/cracklingOutput/sampled_chr1/CXCL10_REGION_PLUS_85_AND_chr1_20251019_014506/CXCL10_REGION_PLUS_85_AND_chr1-rnafold-input.txt -o',)

>>> 2025-10-19 01:45:06:832649:	| Finished

>>> 2025-10-19 01:45:06:832769:			Starting to process the RNAfold results.

>>> 2025-10-19 01:45:06:834613:		44 of 141 failed here.

>>> 2025-10-19 01:45:06:834650:	Calculating mm10db final result.

>>> 2025-10-19 01:45:06:834755:		97 accepted.

>>> 2025-10-19 01:45:06:834760:		300 failed.

>>> 2025-10-19 01:45:06:834769:	sgRNAScorer2 - score using model.

/home/axis/miniconda3/envs/crackling/lib/python3.11/site-packages/sklearn/base.py:442: InconsistentVersionWarning: Trying to unpickle estimator SVC from version 0.24.2 when using version 1.7.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
>>> 2025-10-19 01:45:07:436167:		64 of 121 failed here.

>>> 2025-10-19 01:45:07:436230:	Evaluating efficiency via consensus approach.

>>> 2025-10-19 01:45:07:436676:		316 of 397 failed here.

>>> 2025-10-19 01:45:07:436687:	Bowtie analysis.

>>> 2025-10-19 01:45:07:436767:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 01:45:07:436852:		Constructing the Bowtie input file.

>>> 2025-10-19 01:45:07:437058:			81 guides in this page.

>>> 2025-10-19 01:45:07:437083:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/bowtie2 -x /home/axis/genomes/personalised/multi/GRCh38_sampled_chr1 -p 28 --reorder --no-hd -t -r -U /home/axis/cracklingOutput/sampled_chr1/CXCL10_REGION_PLUS_85_AND_chr1_20251019_014506/CXCL10_REGION_PLUS_85_AND_chr1-bowtie-input.txt -S /home/axis/cracklingOutput/sampled_chr1/CXCL10_REGION_PLUS_85_AND_chr1_20251019_014506/CXCL10_REGION_PLUS_85_AND_chr1-bowtie-output.txt',)

>>> 2025-10-19 01:45:10:398947:	| Finished

>>> 2025-10-19 01:45:10:399007:		Starting to process the Bowtie results.

>>> 2025-10-19 01:45:10:399651:		15 of 81 failed here.

>>> 2025-10-19 01:45:10:399667:	Beginning off-target scoring.

>>> 2025-10-19 01:45:10:399785:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 01:45:10:399909:			66 guides in this page.

>>> 2025-10-19 01:45:10:399939:	| Calling: ('/home/axis/bin/isslScoreOfftargets /home/axis/genomes/personalised/multi/GRCh38_sampled_chr1.issl /home/axis/cracklingOutput/sampled_chr1/CXCL10_REGION_PLUS_85_AND_chr1_20251019_014506/CXCL10_REGION_PLUS_85_AND_chr1-0-offtargetscore-input.txt 4 85 and > /home/axis/cracklingOutput/sampled_chr1/CXCL10_REGION_PLUS_85_AND_chr1_20251019_014506/CXCL10_REGION_PLUS_85_AND_chr1-0-offtargetscore-output.txt',)

>>> 2025-10-19 01:45:26:360087:	| Finished

>>> 2025-10-19 01:45:26:361395:		61 of 66 failed here.

>>> 2025-10-19 01:45:26:361435:	Writing results to file.

>>> 2025-10-19 01:45:26:362791:	Cleaning auxiliary files

>>> 2025-10-19 01:45:26:362970:	Done.

>>> 2025-10-19 01:45:26:362980:	397 guides evaluated.

>>> 2025-10-19 01:45:26:363012:	This batch ran in 01 00:00:19 (dd hh:mm:ss) or 19.584876775741577 seconds

>>> 2025-10-19 01:45:26:363032:	Total run time (dd hh:mm:ss) or 01 00:00:19 seconds

